cve_proveedor,nombre,rfc,telefono,extension,direccion,email
,Jabberstorm,618554305-2,4601623862,5712,788 Elgar Trail,rizzatt0@mlb.com
,Devshare,171377875-0,7712462798,4272,1 Sunnyside Parkway,llangmead1@multiply.com
,Dynazzy,655060648-9,7055069227,9753,863 Declaration Circle,eierland2@hubpages.com
,Skimia,713395853-8,6695736248,3042,4916 Muir Point,dkirton3@bluehost.com
,Pixope,899379036-1,8397302436,2748,282 Iowa Way,nhargerie4@cam.ac.uk
,Oyoba,142337275-1,5933574206,5312,85578 Brown Lane,cdopson5@adobe.com
,Katz,996430308-4,7002456454,5945,815 Atwood Circle,mwhelan6@ebay.com
,Cogilith,355341878-8,6113052480,7874,1199 Haas Pass,bcureton7@ucoz.ru
,Rhynyx,809601519-2,2732737766,2394,539 Waubesa Alley,dtenant8@edublogs.org
,Centizu,653277068-X,4708408156,7556,17 Montana Park,rgoligher9@discuz.net
